"selection3_name","selection3_url","selection3_selection4","selection3_selection4_url"
"Smart WiFi Light Bulb, LUMIMAN LED RGBCW Color Changing, Compatible with Alexa, Siri and Google Home Assistant, No Hub Required, A19 E26 Multicolor 4 Pack","https://www.amazon.com/LUMIMAN-Changing-Compatible-Assistant-Multicolor/dp/B07XYXY5QR/ref=sr_1_26?keywords=smart+light&qid=1581484566&sr=8-26","$39.99
$39
.
99",""
"Smart LED Light Bulb, Dimmable WiFi Smart Bulb with Warm Lights - No Hub Required, Christmas Smart Bulb Works with Alexa Echo Dot, Google Home Mini & Samsung, KHSUIN LED Smart Light Bulbs 7W (80W)","https://www.amazon.com/Smart-Light-Bulb-Dimmable-Lights/dp/B07WS6SK2X/ref=sr_1_27?keywords=smart+light&qid=1581484566&sr=8-27","$19.99
$19
.
99",""
"Smart Light Bulb with Soft White Light 2800k-6200k + RGBW, TECKIN A19 WiFi Multicolor LED Bulb Compatible with Phone, Google Home, 8w (60w Equivalent),2 Pack","https://www.amazon.com/Dimmable-Multicolor-Compatible-TECKIN-Equivalent/dp/B07GT2Q5RW/ref=sr_1_28?keywords=smart+light&qid=1581484566&sr=8-28","$23.99
$23
.
99",""
"LED Candelabra Bulbs E12 Base, Color Changing and Dimmable Smart Light Bulb, Compatible with Alexa Google Home IFTTT, Tunable White Chandelier Light Bulbs 320 lm 35w Equivalent, 3 Pack","https://www.amazon.com/Candelabra-Changing-Compatible-Chandelier-Equivalent/dp/B081L4Q5HH/ref=sr_1_29?keywords=smart+light&qid=1581484566&sr=8-29","$28.99
$28
.
99",""
"Kasa Smart WiFi Light Bulb, Dimmable by TP-Link – No Hub Required, Works with Alexa & Google (KL110)","https://www.amazon.com/Kasa-Smart-Light-Dimmable-TP-Link/dp/B07G1PH3JL/ref=sr_1_30?keywords=smart+light&qid=1581484566&sr=8-30","$16.99
$16
.
99",""
"Smart Light Switch&Alexa Smart Double Switch& 2.4Ghz WIFI Light Switch With Timer and Remote Control,Schedule,Neutral Wire Needed,Works with Alexa, Google Assistant and IFTTT,Single Pole (2gang)","https://www.amazon.com/Switch-Double-Remote-Control-required/dp/B07QRRRTDM/ref=sr_1_31?keywords=smart+light&qid=1581484566&sr=8-31","$36.99
$36
.
99
$45.99
$45.99",""
"LED Candelabra Bulbs E12 Base- Chandelier Lighting Bulbs 400 Lumens 5W(45 Watt equiv.) - Tunable White 2000K-6500K RGB Color Changing Dimmable Smart Light Bulb - 3 Pack","https://www.amazon.com/Candelabra-Chandelier-Lighting-Lumens-equiv/dp/B07YFTKCQC/ref=sr_1_32?keywords=smart+light&qid=1581484566&sr=8-32","$29.99
$29
.
99",""
"Smart Light Bulbs, Aoycocr BR30 Dimmable LED Light Bulbs, 720 Lumen, Tunable White 2700K - 9000K,9 (80W Equivalent), Works with Alexa, Google Assistant, IFTTT, No Hub Required, Wi-Fi, E26 Base, 6 Pack","https://www.amazon.com/Smart-Light-Aoycocr-Dimmable-Tunable/dp/B07VP2KL7W/ref=sr_1_33?keywords=smart+light&qid=1581484566&sr=8-33","$80.99
$80
.
99",""
"Smart Light Bulb, WiFi Bulb Work with Siri, Alexa Echo, Google Home, Practical 10W 960LM Dimmable, from Warm White to Blue White Light Adjustable, No Hub Required, Fitop 2 E26 A19 LED Light Bulbs","https://www.amazon.com/Practical-Dimmable-Adjustable-Required-Fitop/dp/B083LCXLDT/ref=sr_1_34?keywords=smart+light&qid=1581484566&sr=8-34","$22.99
$22
.
99",""
"Gosund Smart Light Switch, In-wall Wifi Smart Switch that Works with Alexa and Google Home, No Hub Required, Neutral Wire Needed, Single-Pole 15A, ETL and FCC Listed,4 Pack White","https://www.amazon.com/TanTan-Compatible-Single-Pole-required-Control/dp/B07MV1RTSV/ref=sr_1_35?keywords=smart+light&qid=1581484566&sr=8-35","$59.99
$59
.
99
$69.99
$69.99",""
"LED Strip Lights, DAYBETTER 16.4 FT Smart Strip Lights 5050 Kit 150 LEDs Work with Alex Google Assistant WiFi Rope Light APP Controlled Smart Light Strip for Bedroom, Home, Ceiling, Cupboard Lighting","https://www.amazon.com/DAYBETTER-Assistant-Controlled-Cupboard-Lighting/dp/B07VQT4HR2/ref=sr_1_36?keywords=smart+light&qid=1581484566&sr=8-36","$24.99
$24
.
99",""
"TP-Link Kasa Smart WiFi Light Bulb, Multicolor - Smart LED Light Bulbs, Works with Alexa & Google (KL130)","https://www.amazon.com/Kasa-Smart-Light-Multicolor-TP-Link/dp/B07FZ6PLJG/ref=sr_1_37?keywords=smart+light&qid=1581484566&sr=8-37","$29.99
$29
.
99",""
"Dusk to Dawn Light Bulb Sensor Smart LED Outdoor Lighting Bulbs Lamp 7W E26/E27 Automatic On/Off, Indoor/Outdoor Yard Porch Patio Garden (Warm White, 3 Pack)","https://www.amazon.com/Sensor-Outdoor-Lighting-Automatic-Indoor/dp/B077SQ95ZW/ref=sr_1_38?keywords=smart+light&qid=1581484566&sr=8-38","$21.99
$21
.
99",""
"Kasa Smart Wi-Fi Light Switch, 3-Way Kit by TP-Link - Control Lighting from Anywhere, Easy In-Wall Installation (3-Way Only), No Hub Required, Works with Alexa and Google Assistant (HS210 KIT)","https://www.amazon.com/TP-Link-Switch-HS210-KIT-1-Pack/dp/B07724HNTX/ref=sr_1_39?keywords=smart+light&qid=1581484566&sr=8-39","$44.97
$44
.
97",""
"LED Night Light Plug in, Super Smart Dusk to Dawn Sensor, Automatic Night Lights Suitable for Bedroom, Bathroom, Toilet,Stairs,Kitchen,Hallway,Kids,Adults,Compact Nightlight, (Warm White, 4 Pack)","https://www.amazon.com/Automatic-Suitable-Bedroom-Bathroom-Nightlight/dp/B083Q333Z7/ref=sr_1_40?keywords=smart+light&qid=1581484566&sr=8-40","$13.47
$13
.
47 ($3.37/Pieces)",""
"Smart Led Light Bulb, Alexa RGB Color Changing Light Bulb, TECKIN E27 A19 60W Equivalent, Compatible with Alexa, Google Home and IFTTT, Cold and Warm Light 2800K-6000K, WiFi Control Bulb (2 Packs)","https://www.amazon.com/Changing-TECKIN-Equivalent-Compatible-2800K-6000K/dp/B081JTDZXT/ref=sr_1_41?keywords=smart+light&qid=1581484566&sr=8-41","$23.99
$23
.
99",""
"TECKIN Smart Light Bulb,LED RGB Color Changing,E27 100W 1300LM Equivalent Compatible with Alexa and Google Home,IFTTT,2900K-6000K BR30 WiFi Light Blubs(13W),1 Pack","https://www.amazon.com/TECKIN-Changing-Equivalent-Compatible-2900K-6000K/dp/B07RZKV7FQ/ref=sr_1_42?keywords=smart+light&qid=1581484566&sr=8-42","$19.99
$19
.
99",""
"WeMo Smart Light Switch 2ND Gen","https://www.amazon.com/WeMo-Smart-Light-Switch-2ND/dp/B07RT8H9WH/ref=sr_1_43?keywords=smart+light&qid=1581484566&sr=8-43","$39.99
$39
.
99",""
"Smart LED RGB Light Bulb - Aoycocr 10W A21 E26 Soft White (2700K) Multicolor - 900 Lumens (85W Equivalent) - Compatible with Amazon Alexa and Google Assistant, No Hub Required (4 Pack)","https://www.amazon.com/Smart-LED-RGB-Light-Bulb/dp/B07T8DRZZ5/ref=sr_1_44?keywords=smart+light&qid=1581484566&sr=8-44","$40.99
$40
.
99
$45.99
$45.99",""
"Sengled Smart LED Soft White A19 Light Bulb, Hub Required, 2700K 60W Equivalent, Works with Alexa, Google Assistant & SmartThings, 4 Pack","https://www.amazon.com/Sengled-Required-Equivalent-Assistant-SmartThings/dp/B072M5RT6L/ref=sr_1_45?keywords=smart+light&qid=1581484566&sr=8-45","$38.99
$38
.
99",""
"So Undercover","https://www.amazon.com/So-Undercover-Miley-Cyrus/dp/B082N95G1B/ref=sr_1_46?keywords=smart+light&qid=1581484566&sr=8-46","From
$3.99
$3
.
99 to rent","https://www.amazon.com/So-Undercover-Miley-Cyrus/dp/B082N95G1B/ref=sr_1_46?keywords=smart+light&qid=1581484566&sr=8-46"
"TECKIN Smart Light Bulb LED RGB Color Changing,A19 E27 60W 800LM Equivalent Compatible with Alexa Google Home,IFTTT,2800K-6000K Cold and Warm Light WiFi Blubs(7.5W),4pack","https://www.amazon.com/TECKIN-Changing-Equivalent-Compatible-2800K-6000K/dp/B07ZJHGQZ2/ref=sr_1_47?keywords=smart+light&qid=1581484566&sr=8-47","$39.99
$39
.
99
$45.99
$45.99",""
"Smart LED Light Bulb, TIKLOK WiFi Dimmable Soft White A19 E26 Bulb, Compatible with Alexa and Google Home, 2700K 60W Equivalent, Easy Setup Control, No Hub Required (4 Pack)","https://www.amazon.com/Dimmable-Compatible-Equivalent-Control-Required/dp/B07XB5C6SC/ref=sr_1_48?keywords=smart+light&qid=1581484566&sr=8-48","$31.96
$31
.
96
$43.98
$43.98",""
"Echo Dot (3rd Gen) - Smart speaker with Alexa - Charcoal","https://www.amazon.com/Echo-Dot/dp/B07FZ8S74R/ref=sxbs_sxwds-deals?cv_ct_cx=smart+light&keywords=smart+light&pd_rd_i=B07FZ8S74R&pd_rd_r=b4af7ebd-1cd2-4a9f-830c-769ca805febf&pd_rd_w=FKjxh&pd_rd_wg=vsFd2&pf_rd_p=0d9ff078-075d-4295-b9e1-6a735b26fa6f&pf_rd_r=4BYP7RBKT8SW8VTTJ90J&qid=1581484566&smid=ATVPDKIKX0DER&sr=1-1-0cb2f4fa-1791-437a-84d5-a59d0df0bc91","$29.99
$29
.
99
$49.99
$49.99",""
